id,entity,severity,kind,field_or_issue,wanted_shape,what_exists_today,blocks,workaround_in_repo,evidence
SEC-01,Company,critical,must-not-exist,"username, password",Should not be returned by a public read endpoint at all,GET /api/Companies/{id} returns both as plaintext strings alongside the profile fields,"Not a UI blocker - a credential disclosure. The frontend calls this endpoint directly, so the values reach the browser.","services/company-profile.ts reads this endpoint and ignores both fields, but they are still in the payload",Live probe 2026-08-27: GET /api/Companies/82 returned non-empty username and password. Values withheld from this export.
EVT-01,Event,high,missing-field,subtitle / descriptive line,"string - e.g. ""The Built Environment Exhibition""","Only `description`, which holds the short name (""BEX Asia 2026"")","Event names are mostly opaque acronyms (IBEW, WBE, CDAO, EnerGex) so a reader cannot tell what the event is","src/data/mock-events.ts subtitle field, hand-entered","Live probe: all 13 events - description is a name, no prose field exists"
EVT-02,Event,high,missing-precision,opening time + timezone,"startDate/endDate with time-of-day and UTC offset, e.g. 2026-09-02T10:00:00+08:00","Date only at midnight, no offset: 2026-09-02T00:00:00",A countdown can only be honest to the day. Hours/minutes/seconds are not derivable.,src/data/mock-events.ts hardcodes +08:00 opening times; components/events/event-date.ts parses the offset from the string,Live probe: all 13 events have T00:00:00 and no offset
EVT-03,Event,high,missing-relation,event -> press releases,Either releases[] on the event or GET /api/Events/{id}/articles,No relation of any kind. `companies` is [] and `compId` is null on all 13 events.,The whole point of an event page on a newswire: which releases came out of this show,src/data/event-article-mappings.json maps event id -> article ids by hand (1 event mapped so far),Live probe: companies empty and compId null for every event
EVT-04,Event,medium,missing-field,venue / city / country as separate fields,"Three fields, or one structured location object","Single free-text `location` at inconsistent granularity: ""Singapore"", ""Abu Dhabi, UAE"", ""Perth, Western Australia"", ""La Nave, Madrid"" (a venue, not a city)","Cannot render venue separately from city, or group events by country",src/data/mock-events.ts splits venue/city/country by hand,Live probe: the four location spellings above are all from the same 13-row response
EVT-05,Event,medium,missing-field,industry / sector tags on the event,array[string] of sector_name values,No sector field on the event at all,Cannot filter or browse events by industry,"components/events/event-industries.ts derives tags from the linked releases instead - works, but needs EVT-03 first","Live probe: 12 event fields, none sector-related"
EVT-06,Event,low,missing-field,"organiser, admission, opening hours",strings,Not present,Nothing - deliberately dropped from the UI as organiser-maintained content,Retained but unrendered in src/data/mock-events.ts,Product decision 2026-08-27: the event website owns this
EVT-07,Event,medium,data-quality,duplicate event rows,One row per event,"""Euro EV Show"" and ""Euro EV Show 2026"" are the same show - same url (euroevshow.com), same dates, different location strings and different eventImage",Duplicate cards in the events listing,None,"Live probe: ids differ, both publish=y"
EVT-08,Event,low,undocumented-field,"lid, inUrl, publish",Documented meaning,"Present but undocumented. lid is a string digit (""2""), publish is ""y""/""n"" as a string rather than a boolean, inUrl is a relative legacy querystring.",Guesswork for anyone consuming the feed,"services/events.ts filters on publish === ""y"" and ignores lid and inUrl",Live probe + services/events.ts
ART-01,Article,high,wrong-type,sectors (detail endpoint),array[string],"A JSON-encoded *string*: ""[\""Energy, Alternatives\"",\""Environment, ESG\""]"" - needs JSON.parse after the response is already parsed",Silent breakage for any consumer that treats it as an array,services/acn-adapter.ts parses it,"Live probe: GET /api/Articles/press-release/109486, sectors is a str"
ART-02,Article,high,inconsistent-shape,"four list endpoints, four shapes",One list DTO reused everywhere,/api/articles/homepage and /api/Articles/by-industry return 10 fields with companies[].companyID (capital ID); /api/Articles?Page&Size returns 9 fields with companies[].companyId (lowercase d) plus language and imageUrl; /api/Articles/search returns 33 flattened fields,Every consumer needs its own mapper; casing differences are easy to get wrong silently,"services/acn-adapter.ts, services/news-list.ts and services/company-articles.ts each map separately",Live probe: field counts 10 / 10 / 9 / 33 across the four endpoints
ART-03,Article,high,missing-field,language on list endpoints,string on every list row,"Only /api/Articles?Page&Size has it (as ""EN""). homepage, by-industry and search omit it entirely.",Language tags cannot render in most feeds; search results are the only place they appear,CompanyArticle.language is optional in services/company-articles.ts and left undefined,Live probe: language present on 1 of 4 list endpoints
ART-04,Article,medium,inconsistent-value,language code format,One canonical form,"""EN"" on the new API vs ""English"" / ""Japanese"" on the legacy API vs ""zh-Hant""/""zh_TW"" in older data",Every comparison needs normalising first,lib/languages.ts resolveLanguage() absorbs all spellings,Live probe + lib/languages.ts comments
ART-05,Article,medium,missing-field,location (dateline),"object {name, sub_Location}","Present on the legacy ArticleDescription schema, absent from the new API detail response",Cannot show the dateline or filter by country on new-API data,"services/search.ts reads location from the prefetched JSON snapshot, not live","Live probe: 16 detail fields, none location-related; swagger LocationModelCustom exists on legacy"
ART-06,Article,medium,missing-field,"views, supplier, topic",string,topicName exists on detail. views and supplier exist only on the legacy schema.,View counts and supplier attribution unavailable on the new API,PressReleaseData still declares views and supplier; filled from legacy or left empty,Live probe vs swagger.json ArticleDescription
