scope,layer,old_name,new_name,means,example_value,where_it_lives,action_owner,notes
term,concept,sector_type,sector,The parent level (9 values),Industrial,"lib/sectors.ts, API responses, DB columns",backend + frontend,The business calls this a sector. Old DB column name leaked into the API and the frontend.
term,concept,sector_name,industry,The child level (76 values),Construct Engineering,"lib/sectors.ts, API responses, DB columns",backend + frontend,The business calls this an industry. Correct structure is sector > industry.
api,article,sectors,industries,Industry tags on an article,"[""Construct, Engineering"",""Environment, ESG""]",GET /api/Articles/press-release/{id},backend,"Also change the TYPE: currently a JSON-encoded string, should be a real array. See _gaps.csv ART-01."
api,article,sectorName,sector,The article sector on list endpoints,Technology,"GET /api/articles/homepage, /api/Articles/by-industry",backend,"Singular field holding a sector, named as if it were an industry."
api,article.companies[],sectorName,sector,Sector of the linked company,Automotive,nested in article responses,backend,"NOTE: sample value ""Automotive"" is an INDUSTRY, not a sector - so this field is also carrying the wrong level. Needs confirming."
api,taxonomy,SectorNameModel.name,sector,Sector name,Technology,GET /api/v1/Sector/GetSectors (legacy),backend,"Legacy schema nests industry[] under it, so the shape is already sector > industry - only the field name is wrong."
api,taxonomy,IndustryModel,Industry,Industry record,"{""id"":33,""name"":""Construct Engineering""}",GET /api/v1/Sector/GetSectors (legacy),backend,This one is already correct. Carry the name forward to the new API.
code,type,Sector (interface),Industry,One row of the master list,-,lib/sectors.ts -> lib/taxonomy.ts,frontend,"A row is an industry, not a sector. lib/taxonomy.ts exports Industry and a separate Sector for the parent."
code,const,SECTOR_TYPES,SECTOR_KEYS / SECTOR_LIST,The 9 sectors,"['Business','Communications',...]",lib/sectors.ts -> lib/taxonomy.ts,frontend,SECTOR_KEYS is the plain list; SECTOR_LIST carries label + industries.
code,fn,getSectorCategory(),sectorOf(),Industry name -> its sector,"sectorOf('Construct, Engineering') === 'Industrial'",lib/sector-mapper.ts -> lib/taxonomy.ts,frontend,Same contract. New one also matches the API comma spellings.
code,fn,getArticleCategories(),sectorsOf(),An article's tags -> its sectors,sectorsOf(['Blockchain Technology']) === ['Cryptocurrency'],lib/sector-mapper.ts -> lib/taxonomy.ts,frontend,Same contract.
code,fn,getSectorsByType(),industriesOf(),Sector -> its industries,industriesOf('Finance'),lib/sectors.ts -> lib/taxonomy.ts,frontend,New one accepts the UI label as well as the internal key.
code,fn,searchSectors(),searchTaxonomy(),Free-text search,-,lib/sectors.ts -> lib/taxonomy.ts,frontend,
code,const,DISPLAY_SECTORS,SECTOR_KEYS,Sidebar sector list,-,lib/sector-mapper.ts -> lib/taxonomy.ts,frontend,Was an alias of SECTOR_TYPES.
code,const,SECTOR_DISPLAY_NAMES,SECTOR_LABELS,Internal key -> UI label,Financial -> Finance,lib/filter-data.ts -> lib/taxonomy.ts,frontend,"Three copies of this map exist today (filter-data.ts, and DISPLAY_TO_TYPE + TYPE_TO_DISPLAY in services/search.ts). Consolidate on one."
code,const,DISPLAY_TO_TYPE / TYPE_TO_DISPLAY,resolveSector() / sectorLabel(),Label <-> key conversion,resolveSector('Finance').sector === 'Financial',services/search.ts -> lib/taxonomy.ts,frontend,"resolveSector() accepts key, label or industry name, so callers stop needing two maps."
code,const,INDUSTRY_HIERARCHY,SECTOR_LIST,Two-level tree for the filter sidebar,-,lib/filter-data.ts -> lib/taxonomy.ts,frontend,"SECTOR_LIST is the same tree with correct names. Sidebar needs NestedItem shape, so keep a thin adapter."
bug,values,comma vs space spellings,taxonomyKey() normalisation,Match punctuation-insensitively,"""Construct, Engineering"" (API) vs ""Construct Engineering"" (frontend)",lib/taxonomy.ts taxonomyKey(),backend picks one; frontend normalises either way,"Measured: 11 industries affected, 59 of 59 previously unmatched article assignments resolve, 0 left over. Backend should settle on ONE spelling in the new API."
bug,values,CryptoCurrency,Cryptocurrency,Sector key casing,Cryptocurrency,"lib/filter-data.ts SECTOR_DISPLAY_NAMES key, services/search.ts DISPLAY_TO_TYPE value",frontend,Measured: /search?sec=Cryptocurrency returns 0 articles while other sectors return 20. The key matches no sector so the mapping is inert.
bug,route,/industry?sec=,/search?sec=,Industry nav link target,/search?sec=Construct+Engineering,components/nav/MainNav/Industry/index.tsx,frontend,"No /industry route exists in src/app, so every industry link in the nav 404s today."
decision,label,Industrial displayed as 'Industry',TBD,Sector label collides with the child level name,"Industrial -> ""Industry""","lib/taxonomy.ts SECTOR_LABELS, lib/filter-data.ts",product,"Once the child level is called ""industry"", labelling the Industrial SECTOR as ""Industry"" is ambiguous. Options: keep ""Industrial"", or use ""Manufacturing & Industry"". Needs a call before the rename ships."
